id;name;forme;descrpition
1;Functionality rich;Orales;Group Savings Account Keyboard
2;Ergonomic;Dermiques;plug-and-play neural cross-platform
3;intranet architect;Injectables;Cotton
4;red;Dermiques;didactic
5;Reverse-engineered Operations;Orales;Bacon auxiliary Awesome Metal Fish
6;Auto Loan Account;Dermiques;Texas
7;COM;Orales;Slovenia Incredible
8;Gloves mobile;Injectables;Shoes frictionless
9;Syrian Pound Operations;Rectales;Metal
10;generating markets redundant;Inhalees;Nevada calculate Handcrafted Cotton Car
